               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.1419,              4.4107,               2.525,              0.3006,             0.31533,             0.20603,            0.099955,              2.1588,              2.9395,              2.8934,            0.070024,           0.0033306,           0.0033306
                   1,              1.9736,              3.4177,              2.3252,             0.40466,             0.30074,             0.25219,             0.13883,              2.0132,              2.8072,              2.7061,            0.039892,            0.006532,            0.006532
                   2,              2.0231,               3.396,              2.3693,             0.34558,             0.30501,             0.23449,             0.12483,              2.0689,              3.1452,              2.7908,           0.0096283,           0.0096014,           0.0096014
                   3,              2.0751,              3.4958,              2.4608,             0.28716,             0.26936,             0.16887,            0.091375,              2.1184,              3.2436,              2.8801,            0.009406,            0.009406,            0.009406
                   4,              2.0458,              3.4433,              2.4276,             0.46307,             0.29358,             0.23725,             0.12054,               2.192,              3.1028,              2.9117,            0.009406,            0.009406,            0.009406
                   5,              1.9557,              3.2905,              2.3734,             0.50626,             0.30804,             0.30206,              0.1754,              2.0251,              2.6828,              2.7354,            0.009208,            0.009208,            0.009208
                   6,              1.9118,                3.15,              2.3183,             0.48104,             0.33984,             0.29679,             0.17482,               1.869,               2.644,              2.6083,             0.00901,             0.00901,             0.00901
                   7,              1.8619,               3.052,              2.2766,             0.56596,             0.38616,             0.40237,             0.24865,               1.813,              2.3753,              2.5332,            0.008812,            0.008812,            0.008812
                   8,              1.8247,              2.9203,              2.2388,             0.64501,             0.42521,             0.43816,             0.27374,              1.6471,              2.2017,              2.4215,            0.008614,            0.008614,            0.008614
                   9,              1.7602,              2.8234,              2.1855,             0.61371,             0.40953,             0.44065,             0.28628,              1.6742,              2.1664,              2.4005,            0.008416,            0.008416,            0.008416
                  10,              1.7325,              2.7243,              2.1629,              0.5421,             0.44368,             0.45655,             0.28482,              1.6511,               2.153,              2.3577,            0.008218,            0.008218,            0.008218
                  11,              1.6978,                2.66,              2.1392,             0.57165,             0.46043,             0.51148,             0.33975,              1.5692,              2.0344,               2.279,             0.00802,             0.00802,             0.00802
                  12,              1.6744,              2.5471,              2.1002,             0.42536,             0.49255,             0.47908,             0.31173,              1.5311,              2.0202,              2.2723,            0.007822,            0.007822,            0.007822
                  13,              1.6551,              2.5313,              2.1076,             0.55704,             0.50204,             0.54789,             0.35669,              1.5573,               1.906,              2.2796,            0.007624,            0.007624,            0.007624
                  14,              1.6323,              2.4687,              2.0771,             0.55687,             0.55059,               0.585,             0.39783,              1.4749,              1.7989,              2.1885,            0.007426,            0.007426,            0.007426
                  15,              1.5968,              2.3922,              2.0464,             0.55181,             0.61309,             0.60385,             0.42498,              1.4009,              1.7189,              2.0938,            0.007228,            0.007228,            0.007228
                  16,              1.5733,              2.3359,              2.0263,              0.6763,             0.57065,              0.6204,              0.4219,              1.3887,              1.6406,              2.0898,             0.00703,             0.00703,             0.00703
                  17,              1.5501,              2.2722,              2.0063,             0.70839,             0.54351,             0.60439,             0.42216,              1.3509,              1.7061,              2.0597,            0.006832,            0.006832,            0.006832
                  18,              1.5396,              2.2637,              2.0031,             0.72547,             0.58077,             0.66111,             0.46299,               1.337,              1.5082,              2.0354,            0.006634,            0.006634,            0.006634
